tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
0,4,EAST,-1.0,-1.0,99.0,0,10,5,0,0,2,-2,-3,2,1,124,0.5006,0.000|0.000|0.000|0.000|0.000|0.000
1,1,NORTH,-1.0,-2.0,98.0,0,11,5,0,0,1,-2,-4,2,3,126,0.5006,0.522|0.000|0.000|0.000|0.000|0.000
2,4,EAST,-1.0,-3.0,97.0,0,11,4,1,0,1,-1,-4,3,6,130,0.5012,0.000|0.733|0.000|0.000|0.000|0.000
3,1,NORTH,-1.0,-4.0,96.0,0,12,4,1,0,0,-1,-5,3,11,137,0.5068,0.000|0.664|1.205|0.000|0.000|0.920
4,5,EAT,27.0,23.0,123.0,1,12,3,1,0,0,0,-5,4,17,144,0.5112,1.060|1.367|0.000|1.581|1.190|0.000
5,3,WEST,-1.0,22.0,122.0,1,12,3,0,0,-4,-2,-5,4,19,154,0.5248,0.822|1.955|2.057|2.722|3.230|2.153
6,1,NORTH,-1.0,21.0,121.0,1,11,3,0,0,-3,-2,-4,4,20,167,0.5394,4.354|7.228|3.598|5.509|5.873|5.828
7,3,WEST,-1.0,20.0,120.0,1,11,2,0,0,-3,-1,-8,-1,20,177,0.554,23.022|27.812|17.405|19.143|2.631|12.289
8,3,WEST,-1.0,19.0,119.0,1,10,2,0,0,-2,-1,-7,-1,20,186,0.5686,40.473|34.619|34.948|40.727|40.537|21.748
9,0,STAY,-0.5,18.5,118.5,1,9,2,1,0,-1,-1,-6,-1,20,196,0.5829,194.067|172.801|83.361|193.384|77.674|186.706
10,4,EAST,-1.0,17.5,117.5,1,9,2,1,0,-1,-1,-6,-1,20,203,0.5975,144.937|408.348|246.770|186.209|254.429|702.405
11,3,WEST,-1.0,16.5,116.5,1,10,2,0,0,-2,-1,-7,-1,20,210,0.6121,1642.801|2455.765|997.157|1496.117|1082.018|575.649
12,3,WEST,-1.0,15.5,115.5,1,9,2,1,0,-1,-1,-6,-1,20,219,0.6267,5256.964|6625.197|2714.141|5329.940|2053.650|5060.078
13,3,WEST,-1.0,14.5,114.5,1,8,2,2,0,0,-1,-5,-1,20,227,0.6413,5095.559|3632.455|2716.954|14966.068|7642.918|9057.102
14,1,NORTH,-1.0,13.5,113.5,1,7,2,2,0,0,-1,-4,-1,20,234,0.6559,48920.778|51745.346|27003.996|30572.806|34786.039|28119.624
15,5,EAT,32.0,45.5,145.5,2,7,1,3,0,0,0,-4,0,20,245,0.6507,154393.942|136343.255|96108.004|185965.773|135430.127|80829.406
16,4,EAST,-1.0,44.5,144.5,2,7,1,2,0,1,0,-4,0,20,253,0.6653,534775.744|872643.576|357072.241|873880.971|192873.100|92350.749
17,5,EAT,30.0,74.5,174.5,3,8,1,1,0,0,0,-5,0,20,260,0.6613,2963256.779|321560.755|1672953.679|2415981.080|3223541.821|1870950.658
18,3,WEST,-1.0,73.5,173.5,3,8,1,0,0,-2,-1,-5,0,20,265,0.6759,14766499.386|14392287.194|3018796.838|18514540.869|5298679.830|7874412.318
19,5,EAT,-2.0,71.5,171.5,3,7,1,1,0,-1,-1,-4,0,20,271,0.6911,41549851.163|36921975.444|32459939.898|32876232.823|46602836.993|66365347.943
20,3,WEST,-1.0,70.5,170.5,3,7,1,1,0,-1,-1,-4,0,20,276,0.7057,374892873.260|422993023.040|196745218.649|395097483.474|172892773.427|64909360.984
21,1,NORTH,-1.0,69.5,169.5,3,6,1,1,0,0,-1,-3,0,20,279,0.7203,1627526082.950|2020466036.551|647174075.166|1769474442.649|777626360.910|1828641022.633
22,5,EAT,25.0,94.5,194.5,4,6,0,1,0,0,0,-3,1,20,285,0.7193,5713589569.941|3730950129.203|3967697621.563|8905778565.376|7046777477.535|2477814612.824
23,2,SOUTH,-1.0,93.5,193.5,4,6,0,0,0,-2,3,-3,1,20,292,0.7339,54467094363.847|52581748096.180|20876351623.092|49757638890.742|25196435219.980|35716748445.099
24,3,WEST,-1.0,92.5,192.5,4,6,1,0,0,-2,2,-3,0,20,298,0.7485,228625582805.242|99492993475.887|118768918707.109|288922711844.222|251421438838.556|185477397665.220
25,3,WEST,-1.0,91.5,191.5,4,5,1,0,0,-1,2,-2,0,20,301,0.7631,1632181606881.076|1701700751235.918|812341715472.517|2081484584990.596|794697458464.515|627888074196.388
26,2,SOUTH,-1.0,90.5,190.5,4,4,1,1,1,0,2,-1,0,20,303,0.7777,11090583687637.668|5743845443735.541|5493899666147.872|11397360560274.576|9490248692541.859|8563711175883.532
27,3,WEST,-1.0,89.5,189.5,4,4,2,2,1,0,1,-1,-1,20,305,0.7923,68354378750382.984|70641434242642.078|28652614803466.621|99965954379079.250|47465425357633.891|30954419572141.105
28,5,EAT,29.0,118.5,200.0,5,3,2,2,1,0,0,0,-1,20,308,0.7889,491616221243306.000|299130276725630.250|274235694946778.500|485310975434607.938|423528061434345.812|337211999363894.875
29,3,WEST,-1.0,117.5,199.0,5,3,2,1,1,1,1,0,-1,20,311,0.8035,4049143078504909.000|4082249500887462.500|2333768390564015.500|5246721811295309.000|3203180952086331.500|1370627085006420.750
30,3,WEST,-1.0,116.5,198.0,5,2,2,0,1,-2,-1,1,-1,20,314,0.8181,30949335638222944.000|27217741563761100.000|13932741476919716.000|36784661517277880.000|21854515333443464.000|22776387480372716.000
31,3,WEST,-1.0,115.5,197.0,5,1,2,1,0,-1,-1,2,-1,20,313,0.8327,237906853252944160.000|175900584606973280.000|125165376492494816.000|301127980925375488.000|240794778306193984.000|103029785901598640.000
32,1,NORTH,-1.0,114.5,196.0,5,0,2,1,0,0,-1,3,-1,20,314,0.8473,2623949548318030336.000|2310564720075055104.000|1098730647254109312.000|2775243684300854784.000|1503583156191575040.000|1358509880575743488.000
33,5,EAT,34.0,148.5,200.0,6,0,1,1,0,0,0,3,0,20,318,0.8409,20300234620280164352.000|12706644177002956800.000|10105281344589281280.000|24962658766278246400.000|18009203619837028352.000|12607521082653030400.000
34,3,WEST,-1.0,147.5,199.0,6,0,1,0,0,4,2,3,0,20,320,0.8555,217281216353448558592.000|180441052085141438464.000|98790798493895196672.000|253142106746355253248.000|139665012187485323264.000|95357921231248441344.000
35,3,WEST,-1.0,146.5,198.0,6,0,1,0,0,4,2,3,0,20,321,0.8701,2187360341056383614976.000|1430956327926510649344.000|1053111084899321380864.000|2392898641065282109440.000|1673676606025414475776.000|1455059700355230072832.000
36,4,EAST,-1.0,145.5,197.0,6,0,1,0,0,4,2,3,0,20,325,0.8847,21929846389127551909888.000|18250938919525826953216.000|10203980995364705533952.000|27996348559190350888960.000|15502279659769812746240.000|10644101860892119924736.000
37,4,EAST,-1.0,144.5,196.0,6,1,1,0,0,3,2,2,0,20,329,0.8993,250950024785968244981760.000|164249581498504786739200.000|124749683182977792606208.000|270276146876422943670272.000|172113391184317551476736.000|147459683739275611865088.000
38,3,WEST,-1.0,143.5,195.0,6,2,1,0,1,2,2,1,0,20,332,0.9139,2843937299399470147960832.000|2137513116849602799075328.000|1426777906128455286652928.000|3562542073961568006045696.000|1946315660534880126631936.000|1393875221730686029266944.000
39,4,EAST,-1.0,142.5,194.0,6,1,1,0,0,3,2,2,0,20,336,0.9285,32301750807447738683228160.000|21583275431922909317169152.000|14661653004076187648000000.000|38448933114784012224692224.000|21657481804672439139958784.000|19166413151519465352986624.000
40,4,EAST,-1.0,141.5,193.0,6,2,1,0,1,2,2,1,0,20,338,0.9431,385777315089554196446314496.000|237637157268548127329091584.000|185652957406851784689844224.000|475475021268957060298440704.000|300509493012936726377660416.000|160735009096751149073039360.000
41,3,WEST,-1.0,140.5,192.0,6,3,1,0,1,1,2,0,0,20,338,0.9577,4980746028565012770359083008.000|3484000775996001563636137984.000|2224502058190976798141972480.000|6029672387570609876780449792.000|3279141638014868249194266624.000|2524844264632009737820438528.000
42,3,WEST,-1.0,139.5,191.0,6,2,1,0,1,2,2,1,0,20,340,0.9723,57630150939599175282581307392.000|35011292487029106276093132800.000|27778699688850297763225665536.000|75444381195855103043307569152.000|49321814257821125023717392384.000|24401857051193928426819944448.000
43,4,EAST,-1.0,138.5,190.0,6,1,1,0,0,3,2,2,0,20,341,0.9869,793575866393420990296272928768.000|543916332125775087761411276800.000|334551698830034609439487557632.000|994109509352754239566912684032.000|597562393328521068843800461312.000|304453677242299266262965944320.000
44,4,EAST,-1.0,137.5,189.0,6,2,1,0,1,2,2,1,0,20,344,1.0015,10373789668304818491928650711040.000|6331575690145907608305929289728.000|3890478584486753643050041344000.000|12773978221531808610357516173312.000|8297479353856275514339090235392.000|4046126131301165967927278567424.000
45,1,NORTH,-1.0,136.5,188.0,6,3,1,0,1,1,2,0,0,20,343,1.0161,136443761743049340639803743404032.000|95219243043641641714935318708224.000|42193525141424009771130311147520.000|175780034785417638373533386014720.000|104065353063190521529890406137856.000|37073765638659298722000960225280.000
46,2,SOUTH,-1.0,135.5,187.0,6,3,0,0,1,1,3,0,1,20,345,1.0307,1926426489229089632546748364750848.000|1201754715766009748554752131596288.000|540490442940394852196243463995392.000|2231932006072681977295064696619008.000|1404542704276611130807517655859200.000|548227585765982186222197063811072.000
47,2,SOUTH,-1.0,134.5,186.0,6,3,1,0,1,1,2,0,0,20,345,1.0453,26723738320604652461525931132977152.000|18110090218888254448594437070127104.000|6350734149296380409127291966193664.000|31898222933181549030305891247718400.000|18728579166367164658354085565562880.000|6559233902657362603556785172250624.000
48,4,EAST,-1.0,133.5,185.0,6,3,2,1,1,1,1,0,-1,20,349,1.0599,362969502638952522831976681950937088.000|235698458740994583796613587966885888.000|73989482260401207066258711085318144.000|409242866926508069678777930394632192.000|244493796766529423243521171107348480.000|73377048787385225289276846535344128.000
49,3,WEST,-1.0,132.5,184.0,6,4,2,1,1,0,1,-1,-1,20,350,1.0745,5107055523545912965203141084435185664.000|3507348478437648178876023176637186048.000|1050206737626792922766521092257349632.000|5788224659733235272164935796143423488.000|3447773011500749396640350585747406848.000|891397599133944801908100060474769408.000
50,4,EAST,-1.0,131.5,183.0,6,3,2,1,1,1,1,0,-1,20,351,1.0891,70932811106619126687308756957351903232.000|48796682129256701969965835960658690048.000|13150293700446204547848012790384033792.000|78622082385636659055571555700197818368.000|44799523271746521616585541119039766528.000|13274769075351827752556534544201678848.000
51,3,WEST,-1.0,130.5,182.0,6,4,2,1,1,0,1,-1,-1,20,351,1.1037,932120889020476373358150672077601898496.000|646692126323749724227735380094319853568.000|183279906666363212422164888511871713280.000|1110138189791990655498319145778618040320.000|663231252142226769485418420955160510464.000|107487452006909705850028546702035648512.000
52,2,SOUTH,-1.0,129.5,181.0,6,3,2,1,1,1,1,0,-1,20,352,1.1183,13966784003915860538669428791345099571200.000|9520855848361046000187245051268789436416.000|2878610796601056051221839320388424695808.000|15522730727079527243982645177135816245248.000|9363909326997598920009286298868968849408.000|2248481422172940807640859290560066748416.000
53,2,SOUTH,-1.0,128.5,180.0,6,3,3,1,0,1,0,0,-2,20,352,1.1329,193630091601691903117741893454998450208768.000|122121070623358783777147812688543006851072.000|47950181971169718802382991533982363942912.000|226192268411227036504392256891409747935232.000|142042532201803613699288870308783872540672.000|12695877921535924674938748075122775556096.000
54,2,SOUTH,-1.0,127.5,179.0,6,3,4,2,1,0,1,1,1,20,353,1.1475,2879907439927262004845146429474511714779136.000|1776240386754811865561828078070192893067264.000|791979592952920312358145293313542501433344.000|3274634426740739548336634011593782715219968.000|1996331582659798078740864445963026642763776.000|290225492562312297836902290677211137572864.000
55,5,EAT,35.0,162.5,200.0,7,3,5,1,1,0,0,1,0,20,354,1.1405,42969701047611033547435388720147849573040128.000|26182614864691168273327784799732274858819584.000|10434203523450193378433873950509108322893824.000|47548256230924444051672096086269625309855744.000|30469687425396251014977261466232050625282048.000|3039551234443052328411486897462062409056256.000
56,3,WEST,-1.0,161.5,199.0,7,3,5,0,1,1,-2,1,0,20,354,1.1551,656892772178561938570020433473793715301515264.000|394934534298513618259793552862110369575862272.000|156736081476282850726094659889634704890003456.000|731707873063721445214997706843108987503640576.000|446349461995719875431996752905580966720831488.000|48158542194232931921192965750930420334067712.000
57,3,WEST,-1.0,160.5,198.0,7,2,5,0,0,2,-2,2,0,20,357,1.1697,10016520261390069486441366260098893355759435776.000|5869508371117708460935861848837844854974185472.000|2234596950964589180014913095022113200611000320.000|10851489825492391009364221582541103393671217152.000|6510555594656301739013902183242611453138567168.000|1235132838672088758666229490390137991478640640.000
58,3,WEST,-1.0,159.5,197.0,7,1,5,0,0,3,-2,0,3,20,357,1.1843,155032329256387495858804478672491252947502497792.000|90664099364132666345665447316889675946530963456.000|35410299050530356649722764554090493131842650112.000|165948405838321871484395903692904925778445074432.000|98704717900485967287424687505367097477030739968.000|30653864318741933476939991565107104649981198336.000
59,4,EAST,-1.0,158.5,196.0,7,0,5,0,0,4,-2,1,3,20,360,1.1989,2280202560552958353776885859657776873075965427712.000|1242714429550352997039281743341312779587072032768.000|679233133072535978905145443862812323533977288704.000|2541026914517002753511790716003803500206280933376.000|1430940145374099266631484276397472051715087794176.000|549809106595071090155765571401408743396765335552.000
60,3,WEST,-1.0,157.5,195.0,7,1,5,0,0,-1,2,0,3,20,360,1.2135,33907382207951872379117372413564503414741663744000.000|17687985171207428390960207952783775374631176765440.000|12376191098566532325727621618441976254070345695232.000|39035184341126780410277695385810345875515669217280.000|22601546337801989605234068860238873779332597153792.000|11689748025759858818226799974166724059509456633856.000
61,3,WEST,-1.0,156.5,194.0,7,0,5,0,0,0,2,1,3,20,361,1.2281,492288072922457125539447367694339247216419883974656.000|228033282658512638642777089850248846054539623661568.000|223244420202108782677013723093551908367527541997568.000|579978657364480392471225158612102783017094347751424.000|358792949813375738244685998841702644287353424707584.000|194060192554281764566632316600437796095417632423936.000
62,2,SOUTH,-1.0,155.5,193.0,7,0,5,0,0,0,2,1,3,20,362,1.2427,7006576530695010056987993618830473495853547435065344.000|2728049178617966484630975656562603448718719706988544.000|3850985010107198070806543997438401660827680896974848.000|8932708611785445296869418521114972092939143399604224.000|5362506733264267482943287065272577725024373108113408.000|3009545664690110543928904658243714757696568537645056.000
