tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
0,4,EAST,-1.0,-1.0,99.0,0,10,5,0,0,2,-2,-3,2,1,102,0.5006,0.000|0.000|0.000|0.000|0.000|0.000
1,1,NORTH,-1.0,-2.0,98.0,0,11,5,0,0,1,-2,-4,2,4,102,0.5006,0.000|0.733|0.000|0.000|0.000|0.000
2,4,EAST,-1.0,-3.0,97.0,0,11,4,1,0,1,-1,-4,3,9,108,0.5042,0.000|0.641|0.000|1.160|0.000|0.000
3,1,NORTH,-1.0,-4.0,96.0,0,12,4,1,0,0,-1,-5,3,14,115,0.5128,0.912|0.996|1.018|1.964|0.000|0.000
4,5,EAT,27.0,23.0,123.0,1,12,3,1,0,0,0,-5,4,18,130,0.5161,1.219|0.574|0.831|0.881|0.805|1.434
5,3,WEST,-1.0,22.0,122.0,1,12,3,0,0,-4,-2,-5,4,19,142,0.5297,1.982|2.309|2.156|0.000|0.999|2.425
6,2,SOUTH,-1.0,21.0,121.0,1,11,3,0,0,-3,-2,-4,4,20,154,0.5443,5.354|4.200|8.024|5.270|2.891|2.258
7,3,WEST,-1.0,20.0,120.0,1,11,4,0,0,-3,-3,-4,3,20,164,0.5589,16.624|10.029|5.092|9.813|3.277|9.524
8,1,NORTH,-1.0,19.0,119.0,1,10,4,0,0,-2,-3,-3,3,20,177,0.5735,19.275|57.806|10.750|9.020|8.522|16.820
9,1,NORTH,-1.0,18.0,118.0,1,10,3,0,0,-2,-2,-3,4,20,183,0.5881,62.966|129.798|42.109|40.200|33.136|48.130
10,4,EAST,-1.0,17.0,117.0,1,10,2,0,0,-2,-1,-7,-1,20,197,0.6027,81.992|455.544|67.661|309.430|50.907|192.048
11,3,WEST,-1.0,16.0,116.0,1,11,2,0,0,-3,-1,-8,-1,20,202,0.6173,279.673|1029.377|449.432|821.892|434.682|525.214
12,3,WEST,-1.0,15.0,115.0,1,10,2,0,0,-2,-1,-7,-1,20,206,0.6319,349.709|4163.916|1709.425|2376.052|1277.575|2228.915
13,1,NORTH,-1.0,14.0,114.0,1,9,2,1,0,-1,-1,-6,-1,20,210,0.6465,2743.749|17122.299|5062.572|10941.407|5807.892|8205.211
14,1,NORTH,-1.0,13.0,113.0,1,9,1,1,0,-1,0,-6,0,20,217,0.6611,5929.082|67357.698|23754.530|40908.278|19234.554|32939.839
15,1,NORTH,-1.0,12.0,112.0,1,9,0,1,0,-1,1,-6,1,20,222,0.6757,28386.798|292479.092|104627.158|192080.033|89178.614|146615.203
16,1,NORTH,-1.0,11.0,111.0,1,9,0,1,0,-1,1,-6,1,20,233,0.6903,179724.290|1198487.956|445956.056|853144.054|367878.717|579041.361
17,1,NORTH,-1.0,10.0,110.0,1,9,0,1,0,-1,1,-6,1,20,237,0.7049,665934.157|5568061.038|2005150.872|3968669.686|1711390.780|2847010.648
18,1,NORTH,-1.0,9.0,109.0,1,9,0,1,0,-1,1,-6,1,20,244,0.7195,3335182.917|27935073.551|9642054.514|17732902.330|7153728.465|12109564.968
19,1,NORTH,-1.0,8.0,108.0,1,9,0,1,0,-1,1,-6,1,20,251,0.7341,23664744.489|131596231.218|49528195.547|93769000.291|36459124.792|58625404.847
20,1,NORTH,-1.0,7.0,107.0,1,9,0,1,0,-1,1,-6,1,20,254,0.7487,160348299.242|705579183.726|285438043.815|498088106.106|180456270.205|305734397.540
21,4,EAST,-1.0,6.0,106.0,1,9,0,1,0,-1,1,-6,1,20,261,0.7633,809383110.506|3926034543.083|1507386286.982|2668444116.667|1046194012.622|1598300921.832
22,1,NORTH,-1.0,5.0,105.0,1,10,0,0,0,-2,1,-7,1,20,267,0.7779,4565552142.546|21882257218.841|8221260244.504|15209704151.192|5961811553.249|9320098637.934
23,4,EAST,-1.0,4.0,104.0,1,10,0,0,0,-2,1,-7,1,20,275,0.7925,27484328936.074|127159879829.678|50994496713.901|89756168345.753|35984132392.515|52719389473.187
24,1,NORTH,-1.0,3.0,103.0,1,11,0,0,0,-3,1,-8,1,20,282,0.8071,174472737832.384|785562551609.286|321500862548.935|548719392179.451|209716827492.182|338671950012.443
25,3,WEST,-1.0,2.0,102.0,1,11,0,0,0,-3,1,-8,1,20,285,0.8217,1173224996525.394|5198277019947.534|2144887533474.091|3913412242918.171|1868855451298.767|2205828822247.431
26,3,WEST,-1.0,1.0,101.0,1,10,0,0,0,-2,1,-7,1,20,289,0.8363,9040804917073.078|35955452563476.617|14141736918973.133|26922530489181.414|12745501689801.252|15437160462623.551
27,1,NORTH,-1.0,0.0,100.0,1,9,0,1,0,-1,1,-6,1,20,293,0.8509,62069744927553.047|259011467034304.156|98367789785997.844|191711683421208.062|96767772683673.172|113007065861753.125
28,3,WEST,-1.0,-1.0,99.0,1,9,0,1,0,-1,1,-6,1,20,299,0.8655,498613853998809.375|1875660024003622.750|722845436512357.625|1434558817834662.250|726007730598940.375|845178051257853.500
29,2,SOUTH,-1.0,-2.0,98.0,1,8,0,2,0,0,1,-5,1,20,301,0.8801,3779019061291245.000|14748375618982336.000|5511234927910595.000|10945152543957482.000|5713696507984605.000|6549907441063495.000
30,5,EAT,28.0,26.0,126.0,2,8,1,2,0,0,0,-5,0,20,309,0.8773,31414043761978648.000|120975823384916112.000|45052182358052120.000|89965916032451088.000|48995695026927000.000|55759828102168144.000
31,1,NORTH,-1.0,25.0,125.0,2,8,1,1,0,-1,0,-5,0,20,311,0.8919,272348838643905824.000|1042784988930033024.000|347571156348634624.000|772994534319054848.000|428060496215660800.000|537247517197078528.000
32,1,NORTH,-1.0,24.0,124.0,2,8,0,1,0,-1,1,-5,1,20,316,0.9065,2388701708043764736.000|9025740898512849920.000|3153175345028920320.000|6673804974297591808.000|3766801310322471424.000|4835181815593038848.000
33,3,WEST,-1.0,23.0,123.0,2,8,0,1,0,-1,1,-5,1,20,317,0.9211,21655823344800542720.000|83399331411927449600.000|32589653496013500416.000|62432481658211319808.000|35941868870698655744.000|45730095044898250752.000
34,2,SOUTH,-1.0,22.0,122.0,2,7,0,2,0,0,1,-4,1,20,321,0.9357,193672284651979112448.000|765337641415157481472.000|302152931343249047552.000|592892416897809907712.000|362832066202074284032.000|443991658895549726720.000
35,5,EAT,20.0,42.0,142.0,3,7,1,2,0,0,0,-4,0,20,323,0.9377,1924093130732109561856.000|7477107433531594768384.000|2992930806807308271616.000|6213690402661491277824.000|3742998287598656946176.000|4538895391503294660608.000
36,3,WEST,-1.0,41.0,141.0,3,7,1,1,0,-1,-1,-4,0,20,324,0.9523,18228794201394695372800.000|73890160259457701904384.000|33276518437431688560640.000|64186219968912611606528.000|39202981790012544122880.000|47055994418381436485632.000
37,1,NORTH,-1.0,40.0,140.0,3,6,1,1,0,0,-1,-3,0,20,328,0.9669,199340696285767480115200.000|769257840791393402880000.000|365519614231333616746496.000|679740126525812291665920.000|411550304564409714868224.000|514517414403292409102336.000
38,5,EAT,22.0,62.0,162.0,4,6,0,1,0,0,0,-3,1,20,333,0.9677,1851651532412932002414592.000|8613534337676619735367680.000|3840136463612348786016256.000|7366311128940998654164992.000|4453039856450488699453440.000|5663276917968398486339584.000
39,2,SOUTH,-1.0,61.0,161.0,4,6,0,0,0,-2,3,-3,1,20,335,0.9823,21093840930758053433704448.000|95620743553300120796659712.000|44417120785581242048315392.000|85691151925221004050169856.000|49914834682857735220887552.000|64342044900128437896740864.000
40,4,EAST,-1.0,60.0,160.0,4,6,1,0,0,-2,2,-3,0,20,335,0.9969,269784121551331456643497984.000|1099494141145396355516071936.000|562634307315521532385558528.000|990613811889411972420075520.000|571147972582449978961559552.000|752546409736553544332345344.000
41,1,NORTH,-1.0,59.0,159.0,4,7,1,0,0,-3,2,-4,0,20,338,1.0115,2898186132564746630015746048.000|12795307112613237556252770304.000|7187073604703761614275346432.000|11963461843424396727736598528.000|6942963948435001502475485184.000|8950841666397011501593395200.000
42,1,NORTH,-1.0,58.0,158.0,4,7,0,0,0,4,0,-4,1,20,340,1.0261,36735542507843222563821977600.000|156661056191068405013531328512.000|93149431507012610997606154240.000|150299553170402244277158543360.000|86304610908961477463510089728.000|111939541654645439562443128832.000
43,4,EAST,-1.0,57.0,157.0,4,7,0,0,0,4,0,-4,1,20,345,1.0407,442924120225517813351197966336.000|1922380336373142072880078520320.000|1186560269937685054612618346496.000|1900276822350523693870119649280.000|1091600135314739139863730192384.000|1420131431764840203107726000128.000
